"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000255255",40.7644964650067,-22.1978137321759,2.98724050714397,-7.43087598038725,1.07880826298905e-13,1.38509017945384e-11,"PPP1R1AP1","PPP1R1AP1"
"ENSG00000273407",41.1912946677163,-8.83546302559063,1.68652931613459,-5.23884342896624,1.61586051997128e-07,1.17384011542101e-05,"RP11-757A13.1","RP11-757A13.1"
"ENSG00000139915",63.6412543874801,-9.46311011609813,2.00103645192558,-4.72910431341311,2.25512502424634e-06,0.000163004195294233,"MDGA2","MDGA2"
"ENSG00000259092",60.0747959315289,-9.37966078043765,2.02520580262349,-4.63146054997821,3.63095188699399e-06,0.000262014563040004,"TRAV30","TRAV30"
"ENSG00000042781",800.177319846704,-1.39114286564785,0.302547646108649,-4.59809515473232,4.26371264403971e-06,0.000307164374849432,"USH2A","USH2A"
"ENSG00000258680",50.848984949819,-9.1396960059624,2.04312869465763,-4.47338243051496,7.69918984939935e-06,0.000552824775792385,"RP11-506K19.1","RP11-506K19.1"
"ENSG00000196407",3196.03934111331,-1.46502578602781,0.340169222161528,-4.30675584557192,1.65666292852924e-05,0.00117398389783308,"THEM5","THEM5"
"ENSG00000254256",229.304866813641,-6.76705349791323,1.59874057636825,-4.23274019433815,2.30861142114427e-05,0.00162800274347327,"RPSAP71","RPSAP71"
"ENSG00000065325",13906.3150473309,-1.62742301455146,0.386735691448538,-4.2081014256943,2.57525279065711e-05,0.00181308666035728,"GLP2R","GLP2R"
"ENSG00000275896",756285.887493637,-5.63531233300065,1.36759930506959,-4.12058730368681,3.7790782998129e-05,0.00264346527071912,"PRSS2","PRSS2"
"ENSG00000237515",669.991118449809,-1.73040172582749,0.423334848667271,-4.08754850037763,4.35955554918881e-05,0.00303970361113777,"SHISA9","SHISA9"
"ENSG00000110076",1255.92491394287,-1.72549575447195,0.422752794254404,-4.08157149502737,4.47322127772243e-05,0.00311395077999268,"NRXN2","NRXN2"
"ENSG00000215018",31137.6167067813,-1.35656598887779,0.337673803184531,-4.01738593898697,5.88473031529905e-05,0.00406393103573574,"COL28A1","COL28A1"
"ENSG00000250591",4367.65813283156,-4.09935281305248,1.03117594699148,-3.97541547105766,7.02564952127163e-05,0.0048287701123301,"PRSS3P1","PRSS3P1"
"ENSG00000171819",1149.66822844364,-3.83035260583866,0.977908223508724,-3.91688352112982,8.97010620030189e-05,0.00614572726383717,"ANGPTL7","ANGPTL7"
"ENSG00000248302",30.8068645890255,-8.41643357720042,2.15351331311648,-3.90823382699245,9.29733021190533e-05,0.00634985691275783,"BNIP3P41","BNIP3P41"
