"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000254883",36.2336258630053,23.8569474442787,2.98731512893072,7.9860832937361,1.39293587687332e-15,2.34648595811408e-12,"RP11-655M14.14","RP11-655M14.14"
"ENSG00000215127",35.3394206236102,23.8194797643862,2.98733249313061,7.97349468770524,1.54249246201344e-15,2.42835860272526e-12,"SYT14P1","SYT14P1"
"ENSG00000255111",35.0909901782845,23.813513096414,2.98733752762226,7.97148393049785,1.5678028286635e-15,2.42835860272526e-12,"RP11-163O19.8","RP11-163O19.8"
"ENSG00000256199",34.7445994199887,23.7990354837888,2.98734459287094,7.966618762557,1.63074763426671e-15,2.43875497070735e-12,"RP11-439H13.2","RP11-439H13.2"
"ENSG00000275612",33.3790826553451,23.7418674253272,2.98737371083617,7.94740455109711,1.90459649026568e-15,2.75334817287774e-12,"RP11-35J10.6","RP11-35J10.6"
"ENSG00000236091",32.8810736607026,23.7205549328973,2.98738492641984,7.94024055056226,2.01789523002853e-15,2.76074558428234e-12,"RP3-473B4.3","RP3-473B4.3"
"ENSG00000260131",32.6871941787149,23.7170942172309,2.98738947893159,7.93907000894745,2.03702780089545e-15,2.76074558428234e-12,"LINC00556","LINC00556"
"ENSG00000236030",32.1678203960301,23.6881728673862,2.98740178684897,7.92935619562974,2.20284877675348e-15,2.87616453158977e-12,"LINC01036","LINC01036"
"ENSG00000256192",31.8531392826675,23.6795775414372,2.98740925640678,7.92645918554817,2.25482704406493e-15,2.87616453158977e-12,"RP11-290I21.2","RP11-290I21.2"
"ENSG00000230442",31.2755015836504,23.6556062556286,2.98742377683882,7.91839659275258,2.40592913270087e-15,2.98122115874583e-12,"RP11-390E23.3","RP11-390E23.3"
"ENSG00000144010",31.8518998566519,23.5635183305059,2.98740902388461,7.8876103480017,3.08027750734278e-15,3.18067988609403e-12,"TRIM43B","TRIM43B"
"ENSG00000228933",30.1288156484205,23.6046147336467,2.98745401393252,7.90124789321023,2.76124873634939e-15,3.18067988609403e-12,"RP11-268G12.1","RP11-268G12.1"
"ENSG00000231776",31.0373030323152,23.6067617512252,2.98742972044917,7.90203082925607,2.74395524774813e-15,3.18067988609403e-12,"LINC01611","LINC01611"
"ENSG00000237317",31.3934253331695,23.5912774487073,2.98742092502521,7.89687092672025,2.85992260648822e-15,3.18067988609403e-12,"RP4-809F4.1","RP4-809F4.1"
"ENSG00000257642",41.705324587481,23.5690526456371,2.98722526450361,7.88994821572441,3.02311952852198e-15,3.18067988609403e-12,"KCCAT198","KCCAT198"
"ENSG00000204455",35.4809957015463,23.4671070000421,2.98732969148027,7.85554639883546,3.9803310568118e-15,3.31967264620906e-12,"TRIM51BP","TRIM51BP"
"ENSG00000278901",31.4269843609046,23.4078466175833,2.98742008453148,7.83547206460397,4.67084493658136e-15,3.55385743955434e-12,"AC005609.17","AC005609.17"
"ENSG00000224589",46.0426044086394,23.1084818152474,2.98716899493108,7.73591378809169,1.02663016377941e-14,4.99458052226599e-12,"RP11-12D5.6","RP11-12D5.6"
"ENSG00000235347",32.7554400869381,23.0744644046692,2.98738778781621,7.72396020991191,1.12770057050792e-14,4.99458052226599e-12,"RP1-37M3.8","RP1-37M3.8"
